Index;Date;Name;Description;Amount_raised;Amount_number;Data AI keyword;Series
0;March 2, 2022;OpenSpace;a San Francisco-based startup that develops machine vision technology for the construction industry;$102 million;102;FALSE;Unknown
1;March 2, 2022;Payhawk;a London-based payment and expense solution company;$100 million;100;FALSE;Series B
2;March 2, 2022;Sanctuary;which is based in Vancouver and manufacturers robots to serve as personal assistants;$58.5 million;58,5;FALSE;Unknown
3;March 2, 2022;Rialtic;an Atlanta, Ga.-based enterprise software platform for healthcare insurers and providers;$28 million;28;FALSE;Series A
4;March 2, 2022;Anrok;a San Francisco-based sales tax solution for SaaS businesses;$20 million;20;FALSE;Unknown
5;March 2, 2022;Rupa Health;a San Francisco-based digital healthcare platform that assists doctors with ordering lab work;$20 million;20;FALSE;Series A
6;March 2, 2022;​​Thetanuts Finance;a Williamsburg, Va.-based yield-generating crypto company;$18 million;18;FALSE;Seed
7;March 2, 2022;Fieldguide;a San Francisco-based automation and workflow collaboration platform;$17 million;17;FALSE;Series A
8;March 2, 2022;H2U Technologies;a Chatsworth, Calif.-based company focused on scaling the hydrogen economy;$11 million;11;FALSE;Series A
9;March 2, 2022;Legends of Learning;a Washington, D.C.-based educational gaming platform for K-12 students;$5 million;5;FALSE;Seed
10;March 2, 2022;InspectHOA;a San Francisco-based HOA platform developer focused on bringing transparency to home deals;$3.1 million;3,1;FALSE;Seed
11;March 2, 2022;Here;a Miami-based vacation rental investment marketplace;$2 million;2;FALSE;Seed
12;March 2, 2022; The Host Co.;a Los Angeles-based, digital commerce marketplace for short-term rentals;$1.85 million;1,85;FALSE;Seed
13;March 1, 2022;Veev;a San Mateo, Calif.-based technology-enabled homebuilding company;$400 million;400;FALSE;Series D
14;March 1, 2022;Aurora Solar;a San Francisco-based solar design software company;$200 million;200;FALSE;Series D
15;March 1, 2022;Kin Insurance;a Chicago-based direct-to-consumer home insurance company;$82 million;82;FALSE;Series D
16;March 1, 2022;GridPoint;a Reston, Va.-based energy management and optimization company for buildings;$75 million;75;FALSE;Unknown
17;March 1, 2022;​Nayya Health;a New York-based benefits experience and healthcare management platform;$55 million;55;FALSE;Series C
18;March 1, 2022;Metadata.io;a San Francisco-based operating system for B2B marketers;$40 million;40;FALSE;Series B
19;March 1, 2022;Subspace Labs;a Palo Alto, Calif.-based infrastructure platform to help build decentralized platforms;$32.9 million;32,9;FALSE;Unknown
20;March 1, 2022;Counterpart;a Walnut, Calif.-based insurtech management liability platform;$30 million;30;FALSE;Series B
21;March 1, 2022;nSure.ai;a Tel Aviv, Israel-based automated chargeback guarantee platform;$18 million;18;FALSE;Seed
22;March 1, 2022;Disco;a Toronto-based educational software platform for knowledge creators and organizations;$15 million;15;FALSE;Series A
23;March 1, 2022;Sourcemap;a New York-based provider of end-to-end supply chain due diligence software;$10 million;10;FALSE;Series A
24;March 1, 2022;XRHealth;a Brookline, Mass.-based virtual health clinic in the metaverse;$10 million;10;FALSE;Unknown
25;March 1, 2022;Orkes;a Cupertino, Calif.-based microservices and workflow platform;$9.3 million;9,3;FALSE;Unknown
26;March 1, 2022;​​Calyptia;a San Francisco-based stream processing platform for data management;$5 million;5;TRUE;Seed
27;March 1, 2022;Testsigma;a San Francisco-based automated testing platform for web and app development;$4.6 million;4,6;FALSE;Seed
28;March 1, 2022;Common Paper;a Beaverton, Ore.-based commercial contracting software company;$4.5 million;4,5;FALSE;Seed
29;March 1, 2022;CryptoTaxCalculator;a Sydney, Australia-based platform for simplifying crypto tax calculations;$2.9 million;2,9;FALSE;Seed
30;March 1, 2022;Visionary.ai;a Tel Aviv, Israel-based startup that uses A.I. to make cameras operate better;$2.5 million;2,5;TRUE;Seed
31;March 1, 2022;point.me;a New York-based flight award travel tool;$2 million;2;FALSE;Seed
32;March 1, 2022;​​NextGem;a Grand Rapids, Minn.-based social app built for sports trading card enthusiasts;$1.8 million;1,8;FALSE;Seed
33;March 3, 2022;Fanatics;a Jacksonville, Fla.-based online sports retail company;$1.5 billion;1500;FALSE;Unknown
34;March 3, 2022;​​Insider;an Istanbul-based online marketing platform;$121 million;121;FALSE;Series D
35;March 3, 2022;Connecteam;a New York-based employee optimization app;$120 million;120;FALSE;Series C
36;March 3, 2022;Luminous Computing;a Mountain View, Caif-based photonic chip develop DEVELOPER?;$105 million;105;FALSE;Series A
37;March 3, 2022;NCX;a San Francisco-based carbon marketplace;$50 million;50;FALSE;Series B
38;March 3, 2022;Epsilogen;a London-based immuno-oncology company;$41.20 million;41,2;FALSE;Series B
39;March 3, 2022;Tenderly;a Belgrade, Serbia-based blockchain development platform;$40 million;40;FALSE;Series B
40;March 3, 2022;FreeWill;a New York-based estate and will planning company;$30 million;30;FALSE;Series B
41;March 3, 2022;ParkourSC;formerly Cloudleaf, a San Jose, Calif.-based sensor platform developer;$26 million;26;FALSE;Unknown
42;March 3, 2022;CardinalOps;a Tel Aviv, Israel-based threat coverage optimization company;$17.5 million;17,5;FALSE;Series A
43;March 3, 2022;Tastewise;a Tel Aviv-based food platform that brings products to market;$17 million;17;FALSE;Series A
44;March 3, 2022;Faros AI;a Sunnyvale, Calif.-based engineering operations platform;$16 million;16;FALSE;Seed
45;March 3, 2022;Piñata;a Newark, N.J.-based rewards and credit building membership program for renters;$13 million;13;FALSE;Series A
46;March 3, 2022;Rebel Girls;a Larkspur, Calif.-based female empowerment bran;$13 million;13;FALSE;Seed
47;March 3, 2022;RioGrande;a Mexico City-based platform to scale and build online brands;$12 million;12;FALSE;Seed
48;March 3, 2022;Filtered;a Boston-based technical interview platform;$10 million;10;FALSE;Unknown
49;March 3, 2022;Source.ag;an Amsterdam-based agtech startup building A.I. for greenhouses;$10 million;10;TRUE;Seed
50;March 3, 2022;Archive;a Miami-based e-commerce marketing and automation platform;$8 million;8;FALSE;Seed
51;March 3, 2022;Nested;a Geneva, Switzerland-based social trading platform based on financial NFTs;$7.5 million;7,5;FALSE;Series A
52;March 3, 2022;BastionZero;a Boston-based cybersecurity company focused on building infrastructure remote access;$6 million;6;TRUE;Seed
53;March 3, 2022;MyPlace;a New York-based house sharing platform;$5.8 million;5,8;FALSE;Seed
54;March 3, 2022;PTO Exchange;a Woodinville, Wash.-based benefits platform focused on unused paid time off;$5.4 million;5,4;FALSE;Seed
55;March 3, 2022;Nifty League;a Mill Valley, Calif.-based NFT gaming platform;$5 million;5;FALSE;Seed
56;March 3, 2022;SecureCo;a New York-based data cybersecurity company;$2.5 million;2,5;TRUE;Seed
57;March 3, 2022;Quiver Quantitative;a Spring Green, Wis.-based investment research platform;$2 million;2;FALSE;Unknown
58;March 4, 2022;Volocopter;a Bruchsal, Germany-based battery-powered aviation startup;$170 million;170;FALSE;Series E
59;March 4, 2022;​​Zeller;a Melbourne, Australia-based alternative business banking solution;$100 million;100;FALSE;Series B
60;March 4, 2022;99minutos;a Mexico City-based logistics service for e-commerce vendors in Latin America;$82 million;82;FALSE;Unknown
61;March 4, 2022;Lido Finance;a liquid staking platform for cryptocurrencies;$70 million;70;FALSE;Unknown
